tripduration,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
144,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,MIT at Mass Ave / Amherst St,42.3581,-71.093198
508,Ames St at Main St,42.3625,-71.08822,MIT at Mass Ave / Amherst St,42.3581,-71.093198
438,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
621,Ames St at Main St,42.3625,-71.08822,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
265,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
506,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
257,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Ames St at Main St,42.3625,-71.08822
527,Kendall Street,42.363560158429900,-71.08216792345050,Central Square at Mass Ave / Essex St,42.36507,-71.1031
464,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Lechmere Station at Cambridge St / First St,42.370677,-71.076529
275,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Central Square at Mass Ave / Essex St,42.36507,-71.1031
360,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
396,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
225,Porter Square Station,42.387995,-71.119084,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945
479,Ames St at Main St,42.3625,-71.08822,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070
634,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
1056,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Porter Square Station,42.387995,-71.119084
551,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
326,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
391,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
696,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070
773,Kendall Street,42.363560158429900,-71.08216792345050,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687
376,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
890,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025
402,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070,Ames St at Main St,42.3625,-71.08822
521,Ames St at Main St,42.3625,-71.08822,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
192,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Ames St at Main St,42.3625,-71.08822
332,Ames St at Main St,42.3625,-71.08822,Binney St / Sixth St,42.366095,-71.086388
367,Kendall Street,42.363560158429900,-71.08216792345050,MIT at Mass Ave / Amherst St,42.3581,-71.093198
170,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Ames St at Main St,42.3625,-71.08822
266,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
508,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
302,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
421,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
158,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
153,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
415,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
582,MIT at Mass Ave / Amherst St,42.3581,-71.093198,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
297,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
