borough,zipcode,address,landuse,ownertype,lotarea,bldgarea,latitude,longitude
SI,10314,261 BRIELLE AVENUE,7,X,26100,2160,40.5985422,-74.1318388
SI,10314,1780 RICHMOND AVENUE,8,X,166058,22046,40.6050838,-74.1633094
SI,10314,1 TELEPORT DRIVE,5,C,226826,112768,40.6058402,-74.1788259
SI,10314,7 TELEPORT DRIVE,5,C,406023,162400,40.6068143,-74.1754360
SI,10314,1616 RICHMOND AVENUE,8,X,23950,5200,40.6090222,-74.1616011
SI,10314,100 MERRILL AVENUE,8,X,406850,125187,40.6093537,-74.1640113
SI,10314,1634 RICHMOND AVENUE,8,X,148975,29200,40.6088314,-74.1626306
SI,10314,156 WATCHOGUE ROAD,1,X,3100,960,40.6153261,-74.1346490
SI,10314,40 CARNEGIE AVENUE,8,X,4550,2004,40.6040508,-74.1639407
SI,10314,435 RICHMOND HILL ROAD,8,X,496000,750,40.5826363,-74.1537034
SI,10303,28 ANDREA PLACE,1,C,2500,1696,40.6254370,-74.1667202
SI,10314,1372 FOREST HILL ROAD,11,C,15104,0,40.5859032,-74.1469495
SI,10314,1126 RICHMOND AVENUE,9,X,700000,600,40.6212452,-74.1573693
SI,10303,136 AMADOR STREET,8,X,4480,3216,40.6235758,-74.1669209
SI,10303,160 WILCOX STREET,1,X,48500,0,40.6239116,-74.1544252
SI,10303,1890 FOREST AVENUE,8,X,31300,17000,40.6252532,-74.1528757
SI,10314,332 WATCHOGUE ROAD,8,X,32797,16396,40.6162266,-74.1412928
SI,10314,471 NORTH GANNON AVENUE,8,X,11040,7422,40.6083227,-74.1448200
BK,11209,9000 SHORE ROAD,4,X,117472,414400,40.6219721,-74.0388717
BK,11223,300 AVENUE X,8,X,10000,2120,40.5901274,-73.9717503
BK,11209,35 93 STREET,8,X,3000,1728,40.6191177,-74.0385099
BK,11209,27 MARINE AVENUE,1,X,2286,2508,40.6199168,-74.0373396
BK,11209,9901 SHORE ROAD,8,X,40600,35128,40.6137304,-74.0363529
SI,10314,1180 ROCKLAND AVENUE,8,X,6656,3989,40.5928763,-74.1563410
